Date,Open,High,Low,Close,Volume,Adj Close
2015-07-16,59.130001,59.34,59.02,59.290001,846800,59.290001
2015-07-15,58.509998,58.98,58.419998,58.889999,1133700,58.889999
2015-07-14,58.490002,58.82,58.389999,58.599998,809200,58.599998
2015-07-13,57.900002,58.459999,57.790001,58.43,692300,58.43
2015-07-10,57.470001,57.66,57.07,57.48,914000,57.48
2015-07-09,57.439999,57.529999,56.900002,56.939999,1262900,56.939999
2015-07-08,57.369999,57.580002,56.740002,56.790001,1455900,56.790001
2015-07-07,57.130001,57.639999,56.400002,57.490002,1375900,57.490002
2015-07-06,56.889999,57.279999,56.779999,57.220001,892700,57.220001
2015-07-02,57.73,57.73,57.400002,57.509998,761800,57.509998
2015-07-01,57.869999,57.869999,57.220001,57.599998,825400,57.599998
2015-06-30,57.810001,57.810001,57.099998,57.34,1518600,57.34
2015-06-29,57.709999,58.09,57.040001,57.139999,1064900,57.139999
2015-06-26,58.290001,58.459999,57.939999,58.380001,2702200,58.380001
2015-06-25,58.50,58.560001,58.049999,58.349998,845600,58.349998
2015-06-24,58.93,59.060001,58.279999,58.290001,740000,58.290001
2015-06-23,59.509998,59.73,58.900002,59.119999,1085900,59.119999
2015-06-22,58.240002,59.279999,58.049999,59.220001,1238700,59.220001
2015-06-19,58.220001,58.34,57.779999,58.049999,2283200,58.049999
2015-06-18,58.00,58.59,57.98,58.389999,1212500,58.389999
2015-06-17,58.369999,58.50,57.490002,57.970001,1060100,57.970001
2015-06-16,57.970001,58.349998,57.720001,58.18,947800,58.18
2015-06-15,57.16,58.060001,56.830002,57.950001,1186800,57.950001
2015-06-12,58.130001,58.189999,57.369999,57.650002,1131400,57.650002
2015-06-11,58.459999,58.740002,58.23,58.549999,896500,58.549999
2015-06-10,58.060001,58.700001,57.880001,58.490002,830700,58.150003
2015-06-09,58.169998,58.290001,57.759998,57.900002,852600,57.563432
2015-06-08,58.540001,58.549999,57.889999,58.080002,887900,57.742386
2015-06-05,58.869999,58.869999,58.389999,58.610001,533400,58.269304
2015-06-04,59.240002,59.580002,58.740002,58.799999,677500,58.458198
2015-06-03,59.439999,59.639999,59.119999,59.48,815600,59.134246
2015-06-02,59.419998,59.740002,58.950001,59.189999,1159000,58.845931
2015-06-01,59.09,59.990002,58.860001,59.650002,1196000,59.303259
2015-05-29,59.57,59.73,59.00,59.00,1769300,58.657036
2015-05-28,58.959999,59.869999,58.849998,59.630001,854600,59.283375
2015-05-27,59.349998,59.349998,58.700001,59.060001,1571100,58.716689
2015-05-26,59.400002,59.400002,58.709999,59.110001,1095400,58.766398
2015-05-22,59.490002,59.740002,59.279999,59.66,1049900,59.3132
2015-05-21,59.650002,59.939999,59.59,59.790001,650100,59.442445
2015-05-20,59.900002,60.029999,59.610001,59.799999,563600,59.452385
2015-05-19,60.349998,60.349998,59.73,59.799999,760500,59.452385
2015-05-18,59.220001,60.169998,59.220001,60.119999,1630000,59.770525
2015-05-15,59.790001,59.93,59.240002,59.299999,1300000,58.955292
2015-05-14,59.619999,59.900002,59.419998,59.790001,906800,59.442445
2015-05-13,59.450001,59.720001,59.220001,59.25,825400,58.905583
2015-05-12,59.43,59.689999,59.099998,59.419998,769100,59.074593
2015-05-11,60.470001,60.619999,59.759998,59.799999,1216100,59.452385
2015-05-08,60.560001,61.00,60.41,60.59,1040200,60.237794
2015-05-07,59.290001,60.400002,59.119999,60.009998,1862800,59.661164
2015-05-06,60.34,60.490002,58.200001,58.75,2316200,58.40849
2015-05-05,59.619999,60.150002,58.200001,58.59,2343800,58.24942
2015-05-04,60.369999,60.77,60.34,60.68,993700,60.327271
2015-05-01,60.119999,60.369999,60.040001,60.279999,1526400,59.929595
2015-04-30,59.450001,59.84,59.32,59.75,1890000,59.402677
2015-04-29,60.50,60.689999,59.720001,59.740002,1366800,59.392736
2015-04-28,60.970001,61.139999,60.380001,60.689999,993200,60.337211
2015-04-27,60.849998,61.16,60.470001,60.98,1456300,60.625526
2015-04-24,61.110001,61.110001,60.18,60.57,1823400,60.21791
2015-04-23,61.18,61.459999,60.84,60.84,1380600,60.486341
2015-04-22,61.610001,61.810001,61.41,61.59,993900,61.231981
2015-04-21,61.34,61.709999,61.259998,61.43,1273200,61.072911
2015-04-20,61.02,61.459999,61.009998,61.16,1424600,60.80448
2015-04-17,61.509998,61.610001,60.470001,60.68,2097700,60.327271
2015-04-16,61.709999,62.130001,61.709999,61.860001,1936400,61.500412
2015-04-15,61.959999,62.330002,61.759998,61.82,1273300,61.460644
2015-04-14,62.009998,62.139999,61.650002,61.91,1286100,61.550121
2015-04-13,62.529999,62.990002,61.900002,61.970001,1257000,61.609773
2015-04-10,62.25,62.59,62.110001,62.529999,900400,62.166515
2015-04-09,62.27,62.439999,61.799999,62.32,923900,61.957737
2015-04-08,61.900002,62.459999,61.50,62.419998,1488300,62.057154
